scenario name,program,bug revision,fix revision, minutes between bug rev and fix rev,files edited,lines added or changed,lines deleted or changed,Bug report priority,Security related?,Human patch changes data structures or types?,Human patch changes method signature?,Human patch changes arguments to a function?,Human patch added 1 or more function calls?,Human patch changes conditional?,Human patch adds new variables?,Human patch adds 1 or more if-statements?,Human patch adds 1 or more loops?,Human patch adds a whole new function?,Bug management links,Bug type,Additional bug detail,
fbc-bug-5251-5252,fbc,5251,5252,5,10,67,12,,,No,No,Yes,No,Yes,Yes,No,No,No,,feature add,support & octal numbers,
fbc-bug-5458-5459,fbc,5458,5459,758,1,2,2,,,No,No,No,No,Yes,No,No,No,No,,incorrect output,StrAssignMid,
fbc-bug-5556-5557,fbc,5556,5557,409,1,1,1,,,No,No,Yes,No,No,No,No,No,No,,incorrect output,ULONGINT to string,
gmp-bug-13420-13421,gmp,13420,13421,10,1,7,10,,,No,No,Yes,No,No,No,No,No,No,,segmentation fault,out of memory in computation of R = U^E mod M,
gmp-bug-14166-14167,gmp,14166,14167,106,1,4,4,,,No,No,No,No,No,No,No,No,No,,incorrect output,gcd computation,
gzip-bug-2009-08-16-3fe0caeada-39a362ae9d,gzip,3fe0caeada6aa3,39a362ae9d9b00,309,1,4,2,,,No,No,Yes,No,No,No,No,No,No,https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=507263,Segfault,increase buffer size,
gzip-bug-2009-09-26-a1d3d4019d-f17cbd13a1,gzip,a1d3d4019ddd22,f17cbd13a1d0a7,31,1,1,0,,,No,No,No,Yes,No,No,No,No,No,http://www.mail-archive.com/bug-gzip@gnu.org/msg00213.html,Incorrect behavior or incorrect output,correct the use of an unintialized file descriptor,
gzip-bug-2009-10-09-1a085b1446-118a107f2d,gzip,1a085b1446a23b,118a107f2d3ae5,922,1,7,2,,,No,No,No,Yes,No,No,Yes,No,No,,Fatal error of unspecified type,"addresses a failure when there is ""exactly one trailing NUL byte""",
gzip-bug-2010-01-30-fc00329e3d-1204630c96,gzip,fc00329e3dc139,1204630c96e0c3,694,2,23,11,,,No,No,Yes,Yes,Yes,Yes,Yes,No,No,,Added functionality,support concatenation of zipped and uncompressed data,
gzip-bug-2010-02-19-3eb6091d69-884ef6d16c,gzip,3eb6091d69a,884ef6d16c6,855,1,3,3,,,No,No,Yes,No,Yes,No,No,No,No,,Incorrect behavior or incorrect output,data loss bug when decompressing with --suffix='',
libtiff-bug-2005-12-14-6746b87-0d3d51d,libtiff,6746b87,0d3d51d,,1,33,45,,,No,No,No,Yes,Yes,Yes,Yes,Yes,No,,Incorrect behavior in exceptional situation,,
libtiff-bug-2005-12-21-3b848a7-3edb9cd,libtiff,3b848a7,3edb9cd,855,1,1,1,,,No,No,No,No,Yes,No,No,No,No,,Incorrect behavior or incorrect output,"""fix in StribByteCount guessing code""",
libtiff-bug-2005-12-27-6f76e76-5dac30f,libtiff,6f76e76,5dac30f,693,8,106,571,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,Major refactor; enhancement,,
libtiff-bug-2006-02-23-b2ce5d8-207c78a,libtiff,b2ce5d8,207c78a,11,1,6,1,,,No,No,No,Yes,No,No,Yes,No,No,http://bugzilla.remotesensing.org/show_bug.cgi?id=1088,Segfault,saved bug report from wayback machine in bug-info,
libtiff-bug-2006-02-27-6074705-e6d0c32,libtiff,6074705,e6d0c32,1211,1,87,27,,,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,http://bugzilla.remotesensing.org/show_bug.cgi?id=1044,Feature add,added support for PBM files,
libtiff-bug-2006-03-03-a72cf60-0a36d7f,libtiff,a72cf60,0a36d7f,106,1,1,1,,,No,No,No,No,Yes,No,No,No,No,,Buffer overflow,"""stupid mistake""",
libtiff-bug-2006-03-03-eec4c06-ee65c74,libtiff,eec4c06,ee65c74,1334,1,4,12,,,No,No,No,No,Yes,No,No,No,No,http://bugzilla.remotesensing.org/show_bug.cgi?id=1102,Integer overflow,,
libtiff-bug-2007-07-08-bd2f947-ccc10c7,libtiff,bd2f947,ccc10c7,942,11,78,72,,,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,Refactor,,
libtiff-bug-2007-07-08-c766cb7-0cc95fb,libtiff,c766cb7,0cc95fb,414,11,84,232,,,Yes,No,Yes,Yes,Yes,No,No,No,No,,Refactor,,
libtiff-bug-2007-07-13-09e8220-f2d989d,libtiff,09e8220,f2d989d,187,1,3,3,,,No,No,Yes,No,Yes,No,No,No,No,,Fatal error of unspecified type,"Wrong ""StribByteCounts field; referred to as ""Bob's DumpModeDecode bug"" in the mailing lists",
libtiff-bug-2007-07-19-ce4b7af-7d6e298,libtiff,ce4b7af,7d6e298,1437,1,6,5,,,No,No,No,No,Yes,No,No,No,No,,Input validation,,
libtiff-bug-2007-08-24-827b6bc-22da1d6,libtiff,827b6bc,22da1d6,1,1,12,15,,,No,No,Yes,No,No,No,Yes,No,No,,Spurious warning,,
libtiff-bug-2007-11-02-371336d-865f7b2,libtiff,371336d,865f7b2,1432,1,2,7,,,No,No,No,No,Yes,No,No,No,No,,Bounds checking,,
libtiff-bug-2007-11-23-82e378c-cf05a83,libtiff,82e378c,cf05a83,673,5,19,8,,,No,No,No,Yes,Yes,No,Yes,No,No,,Feature add,,
libtiff-bug-2008-04-15-2e8b2f1-0d27dc0,libtiff,2e8b2f1,0d27dc0,22,1,1,1,,,No,No,No,No,No,No,No,No,No,,Incorrect behavior or incorrect output,,
libtiff-bug-2008-09-05-d59e7df-5f42dba,libtiff,d59e7df,5f42dba,21,1,6,6,,,Yes,No,No,No,No,No,No,No,No,,Incorrect behavior or incorrect output; compatability,,
libtiff-bug-2008-12-30-362dee5-565eaa2,libtiff,362dee5,565eaa2,20,2,20,5,,,Yes,No,No,Yes,Yes,Yes,No,No,No,,Crash; segfault; Fatal error of unspecified type,,
libtiff-bug-2009-02-05-764dbba-2e42d63,libtiff,764dbba,2e42d63,1169,1,1,1,,,No,No,No,Yes,No,No,No,No,No,,Incorrect behavior or incorrect output; Incorrect default,,
libtiff-bug-2009-06-30-b44af47-e0b51f3,libtiff,b44af47,e0b51f3,213,1,3,0,,,No,No,No,Yes,Yes,No,Yes,No,No,,Enhancement,,
libtiff-bug-2009-08-28-e8a47d4-023b6df,libtiff,e8a47d4,023b6df,1147,1,9,21,,,Yes,No,No,No,No,No,No,No,No,,Not available,,
libtiff-bug-2009-09-03-6406250-6b6496b,libtiff,6406250,6b6496b,71,1,2219,1158,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Major refactor; enchancement,,
libtiff-bug-2010-06-30-1563270-1136bdf,libtiff,1563270,1136bdf,1332,1,237,140,,,No,No,Yes,Yes,Yes,Yes,Yes,No,No,,Major refactor; enhancement,,
libtiff-bug-2010-11-27-eb326f9-eec7ec0,libtiff,eb326f9,eec7ec0,1120,1,1,0,,,No,No,No,No,No,No,No,No,No,,Incorrect behavior or incorrect output,,
libtiff-bug-2010-12-13-96a5fb4-bdba15c,libtiff,96a5fb4,bdba15c,1221,1,95,67,P2 enhancement,No,No,No,Yes,Yes,Yes,No,Yes,No,No,http://bugzilla.maptools.org/show_bug.cgi?id=2004,Major refactor; enhancement,,
lighttpd-bug-1794-1795,lighttpd,1794,1795,0,3,22,17,,,No,No,Yes,Yes,Yes,No,No,No,No,http://redmine.lighttpd.net/issues/2320,Feature request,added physical[]  attribute,
lighttpd-bug-1806-1807,lighttpd,1806,1807,0,1,31,9,Normal,,No,No,Yes,Yes,Yes,No,No,No,No,http://redmine.lighttpd.net/issues/41,Incorrect behavior or incorrect output,bug with nested conditionals in lighty config; forum thread on defect in bug-info,
lighttpd-bug-1913-1914,lighttpd,1913,1914,12,1,7,5,,,No,No,No,No,No,No,Yes,No,No,http://redmine.lighttpd.net/projects/lighttpd/repository/revisions/1914,Buffer underflow,Only add content-length (a user specified argument) to environment if it is greater than 0.,
lighttpd-bug-1948-1949,lighttpd,1948,1949,116,1,8,0,,,No,No,No,No,No,No,Yes,No,No,http://redmine.lighttpd.net/issues/1102,incorrect behavior,"""when i set server.kbytes-per-second in the global context, the download stops before the end with a connection closed""; problem with extra content-length header entry",
lighttpd-bug-2225-2226,lighttpd,2225,2226,0,2,51,46,,,No,No,No,Yes,No,No,Yes,No,No,http://redmine.lighttpd.net/projects/lighttpd/repository/revisions/2226,Incorrect behavior,"related to nph functionality; log suggests HTTP Response parser should not require more than one line, but it did; this fixed it",
lighttpd-bug-2254-2259,lighttpd,2254,2259,1147,1,4,3,Normal,,No,No,No,No,Yes,No,No,No,No,http://redmine.lighttpd.net/issues/1688  http://redmine.lighttpd.net/issues/1440,Incorrect behavior or incorrect output,Improper error response codes from mod_secdownload,
lighttpd-bug-2330-2331,lighttpd,2330,2331,21,1,50,14,Normal,,No,No,No,Yes,Yes,Yes,Yes,No,No,http://redmine.lighttpd.net/issues/1773,Added functionality,Add the ability to disable methods in mod_compress,
lighttpd-bug-2661-2662,lighttpd,2661,2662,130,1,1,0,Normal,"Possibly, see link.",No,No,No,No,No,No,Yes,No,No,http://redmine.lighttpd.net/issues/1551,Segfault,"Problem with escaping user input; possible to corrupt or ""inject stuff"" into the access log, though the test failure manifests as a segmentation fault",
lighttpd-bug-2785-2786,lighttpd,2785,2786,166,1,8,3,,,No,No,Yes,Yes,Yes,Yes,Yes,No,No,http://redmine.lighttpd.net/issues/1980,"Buffer overflow, incorrect output",failed to conform to spec in rare case,
php-bug-2011-01-06-e7a1d5004e-3571c955b5,php,e7a1d5004e,3571c955b5,7,1,15,0,No information regarding priority in bug report,No,No,No,No,Yes,No,Yes,Yes,No,Yes,https://bugs.php.net/bug.php?id=53659,feature request,add a getter to the regex class,
php-bug-2011-01-09-7c6310852e-478e5d1dd0,php,7c6310852e,478e5d1dd0,356,1,52,2,,No,No,No,No,Yes,No,Yes,Yes,No,Yes,,Feature add,added trait-exists function call,
php-bug-2011-01-18-95388b7cda-b9b1fb1827,php,95388b7cda,b9b1fb1827,121,1,11,6,,,No,No,Yes,Yes,No,No,Yes,No,No,,Addressing regression,"paraphrased log msg: ""finally fixing mess in prev revisions""",
